marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_product	review_headline	review_body	review_date	sentiment
US	Wz4ckaA3y017SN	FtDeR0quXl8lS0sQ	MwWllRBUez	7769082489	Toaster Model EQbaf	Air Conditioner	5	30	57	Y	N	Excellent Refrigerator	This is a fantastic Microwave. I would recommend it.	2011-07-08	positive
FR	ooxifEjwvgVo8u	n4RhiaPtXeh1PoqJ	qBb7ehUHWR	5305686095	Microwave Model uiRfP	Blender	4	9	72	N	Y	Terrible Air Conditioner	This is a excellent Microwave. I would recommend it.	2014-12-01	negative
CA	ZIOORRoBrcXT6G	9HjmlgAzypLumid3	DA7K4v87Js	1480197315	Blender Model Ebt74	Air Conditioner	1	21	54	N	N	Terrible Refrigerator	This is a excellent Microwave. I would recommend it.	2015-08-29	negative
FR	zgAsW5MXR8WtTG	vW0SgLaibYyv92D4	uSHeLVFZnr	7828493361	Blender Model FdqL9	Refrigerator	4	88	57	Y	Y	Average Blender	This is a poor Microwave. I would not recommend it.	2010-04-14	negative
FR	bUIjFlowg3CtJo	p19BE51w9DEigLV1	nACjDa2bI3	7204147496	Toaster Model v1fMf	Microwave	2	73	58	N	N	Excellent Toaster	This is a poor Toaster. I would not recommend it.	2016-11-06	positive
CA	CAUBCyP7BvEuOB	wn5Qztis1lnYUNzx	RixlKd2N4x	8063190532	Blender Model ZFoZF	Refrigerator	3	76	4	Y	N	Great Refrigerator	This is a mediocre Toaster. I would recommend it.	2013-06-19	positive
FR	Da6oiLzJOKVQhR	kaLldoiLl8zmLAB7	1Hb0VYiItE	9467270488	Toaster Model KFjAX	Refrigerator	4	76	72	Y	Y	Great Blender	This is a mediocre Toaster. I would not recommend it.	2010-01-27	neutral
FR	R2Si4uqWFrDdhM	8vnU40StHIIetW6m	y4aA7xFRXy	9164047378	Blender Model Ss8xr	Air Conditioner	1	8	20	N	Y	Not good Blender	This is a fantastic Blender. I would recommend it.	2011-09-09	positive
UK	CXme45i85AZinP	HFuZLa4MOp2nnT7Z	8eWRnVDzqv	5219022495	Refrigerator Model mQue4	Air Conditioner	4	81	0	Y	N	Average Air Conditioner	This is a unsatisfactory Microwave. I would recommend it.	2023-04-06	positive
US	qZdfXw4cS044bq	xv1etMsQI0w6VJfA	dfeLIWpQB5	6012591510	Air Conditioner Model rIxUl	Toaster	3	52	10	Y	N	Average Air Conditioner	This is a poor Blender. I would recommend it.	2021-04-09	neutral
CA	rljur6AETRCU11	5wjRLgVT1zq41zTI	K2OqeQVQJU	1710826010	Air Conditioner Model L1RYe	Toaster	1	46	89	Y	N	Terrible Microwave	This is a poor Blender. I would not recommend it.	2011-03-23	neutral
FR	0BAwhs8IOHFDoV	ItG4ToXIYoqJeoGt	o2sFQOEEZz	3393122799	Air Conditioner Model w2XZ2	Refrigerator	1	66	88	Y	N	Average Blender	This is a poor Refrigerator. I would not recommend it.	2011-07-05	positive
FR	kvJIVmcNoSqERY	a8m3eFwQn0d8nqlD	GOyrEMAhK1	8791744679	Air Conditioner Model tmPtM	Refrigerator	4	39	70	Y	N	Excellent Microwave	This is a mediocre Microwave. I would not recommend it.	2021-11-12	positive
US	QDCQUnk0ayP5g6	jyUqLJa1TANCRSzj	HJsq1cGtHX	4639773595	Microwave Model 344QL	Air Conditioner	4	26	39	N	Y	Great Microwave	This is a excellent Refrigerator. I would not recommend it.	2018-07-20	positive
CA	hswricz9smbRzR	TucX7nTxfIVRL854	QHYauQcKi4	2582927589	Air Conditioner Model 57PVK	Refrigerator	5	48	60	N	Y	Not good Blender	This is a fantastic Refrigerator. I would not recommend it.	2010-09-05	negative
DE	EuApHcaWv4CoxO	zQnhZXanBUqjdDe8	k766DQKIXc	7925432773	Blender Model pm4gk	Air Conditioner	5	38	90	N	Y	Average Refrigerator	This is a excellent Toaster. I would recommend it.	2014-01-21	positive
UK	VMiEqk2UvUUC9p	Med3OxJYGW28deE0	sWQuBgKMl5	7534404318	Toaster Model Tkh9j	Air Conditioner	5	55	17	Y	N	Terrible Blender	This is a excellent Blender. I would not recommend it.	2021-04-08	positive
CA	XK7IqbXwqccZ0G	RZ9b3FJnICKZsaw5	OmPxXLueLz	9323394959	Blender Model Ah666	Blender	2	72	75	Y	Y	Average Air Conditioner	This is a excellent Microwave. I would not recommend it.	2016-04-29	negative
DE	6DJ8lw8hD86FlE	zwtBL7iU9rGzc6Ev	9gsrRmVrFX	6860110352	Toaster Model YUnyK	Air Conditioner	1	80	46	N	N	Great Blender	This is a poor Air Conditioner. I would recommend it.	2015-02-01	positive
